Number,Date,Question,Answer,Hashtag,Countries,Link,0
702,,,,,,,
703,,,,,,,
704,,,,,,,
705,,,,,,,
706,,,,,,,
707,,,,,,,
708,,,,,,,
709,,,,,,,
710,,,,,,,
711,,,,,,,
712,,,,,,,
713,,,,,,,
714,,,,,,,
715,,,,,,,
716,,,,,,,
717,,,,,,,
718,,,,,,,
719,,,,,,,
720,,,,,,,
721,,,,,,,
722,,,,,,,
723,,,,,,,
724,,,,,,,
725,,,,,,,
726,,,,,,,
727,,,,,,,
728,,,,,,,
729,,,,,,,
730,,,,,,,
731,,,,,,,
732,,,,,,,
733,,,,,,,
734,,,,,,,
735,,,,,,,
736,,,,,,,
737,,,,,,,
738,,,,,,,
739,,,,,,,
740,,,,,,,
741,,,,,,,
742,,,,,,,
743,,,,,,,
744,,,,,,,
745,,,,,,,
746,,,,,,,
747,,,,,,,
748,,,,,,,
749,,,,,,,
750,,,,,,,
751,,,,,,,
752,,,,,,,
753,,,,,,,
754,,,,,,,
755,,,,,,,
756,,,,,,,
757,,,,,,,
758,,,,,,,
759,,,,,,,
760,,,,,,,
761,,,,,,,
762,,,,,,,
763,,,,,,,
764,,,,,,,
765,,,,,,,
766,,,,,,,
767,,,,,,,
768,,,,,,,
769,,,,,,,
770,,,,,,,
771,,,,,,,
772,,,,,,,
773,,,,,,,
774,,,,,,,
775,,,,,,,
776,,,,,,,
777,,,,,,,
778,,,,,,,
779,,,,,,,
780,,,,,,,
781,,,,,,,
782,,,,,,,
783,,,,,,,
784,,,,,,,
785,,,,,,,
786,,,,,,,
787,,,,,,,
788,,,,,,,
789,,,,,,,
790,,,,,,,
791,,,,,,,
792,,,,,,,
793,,,,,,,
794,,,,,,,
795,,,,,,,
796,,,,,,,
797,,,,,,,
798,,,,,,,
799,,,,,,,
800,,,,,,,
801,,,,,,,
802,,,,,,,
803,,,,,,,
804,1/31/2020,Do sanctions on COSCO Shipping Tanker (Dalian) Seaman & Ship Management Co. apply to its corporate parent and affiliates?,"COSCO Shipping Tanker (Dalian) Seaman & Ship Management Co. was determined by the Secretary of State on September 25, 2019, to meet the criteria for the imposition of sanctions under Executive Order (E.O.) 13846, and the Secretary of State imposed certain sanctions, including blocking, on this entity. The blocking sanctions apply only to this listed entity and any entities in which it owns, directly or indirectly, a 50 percent or greater interest. Sanctions do not apply to this entity’s ultimate parent, COSCO Shipping Corporation Ltd. (COSCO). Similarly, sanctions do not apply to COSCO’s other subsidiaries or affiliates (e.g., COSCO Shipping Holdings), provided that such entities are not owned 50 percent or more in the aggregate by one or more blocked persons. U.S. persons, therefore, are not prohibited from dealing with COSCO, its non-blocked subsidiaries, or non-blocked affiliates to the extent the proposed dealings do not involve any blocked person, or any other activities prohibited pursuant to any OFAC sanctions authorities.

With respect to transactions involving non U.S. persons outside of U.S. jurisdiction, please see FAQ 805.",E.O. 13846,Iran,,
805,,"Are non-U.S. persons exposed to sanctions for providing goods or services to, or engaging in other transactions with, a non-Iranian person sanctioned under section 3 of E.O. 13846?","No, non-U.S. persons are generally not exposed to sanctions for providing goods or services to, or engaging in other transactions with, a non-Iranian person sanctioned under section 3 of E.O. 13846.

However, please note that non-U.S. persons should ensure that the provision of goods or services to, or other transactions with such non-Iranian persons do not involve: (1) prohibited transactions by U.S. persons (including U.S. financial institutions) or U.S.-owned or -controlled foreign entities, unless the transaction is exempt from regulation, or authorized by OFAC; (2) the knowing provision of significant support to an Iranian person on OFAC s List of Specially Designated Nationals and Blocked Persons (SDN List); or (3) the knowing facilitation of a significant transaction for a person on the SDN List that has been designated in connection with Iran s support for international terrorism or proliferation of weapons of mass destruction, including designated Iranian financial institutions or the Islamic Revolutionary Guard Corps (IRGC), or other activity for which sanctions have been imposed with respect to Iran (e.g., knowingly engaging in a significant transaction for the purchase of petroleum from Iran).

For information about persons sanctioned by State Department pursuant to Section 3 of E.O. 13846, please see the relevant State press statement or Federal Register Notice.",E.O. 13846,Iran,,
806,,,,,,,
807,,,,,,,
808,,,,,,,
809,,,,,,,
810,12/11/2019,"On December 11, 2019, the State Department announced that it would designate the Islamic Republic of Iran Shipping Lines (IRISL) and E-Sail Shipping Limited ( E-Sail ) under Executive Order (E.O.) 13382, effective June 8, 2020. IRISL and E-Sail are already listed on the SDN List. What will be the impact of the State Department s designation of these entities under E.O. 13382?","On November 5, 2018, OFAC identified IRISL and E-Sail on the SDN List with the [IRAN] tag to indicate that they are entities meeting the definition of the Government of Iran whose property and interests in property are blocked pursuant to E.O. 13599.
 
Following their designation by the State Department under E.O. 13382 on June 8, 2020, OFAC will add the [NPWMD] and [IFSR] tags to the entries for IRISL and E-Sail on the SDN List. As a result, transactions by U.S. persons or within (or transiting) the United States involving IRISL and E-Sail will be subject to the prohibitions in the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544 (WMDPSR), in addition to the prohibitions in E.O. 13599 implemented through the Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR). Non-U.S. persons that knowingly engage in certain transactions with IRISL or E-Sail risk exposure to sanctions under additional authorities. ","E.O. 13599
E.O. 13382
Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544",Iran,,
811,,,,,,,
812,,,,,,,
813,,,,,,,
814,,,,,,,
815,,,,,,,
816,,,,,,,
817,,,,,,,
818,,,,,,,
819,2/20/2020,"Is the June 21, 2019 amendment to the Office of Foreign Assets Control (OFAC)'s Reporting, Procedures and Penalties Regulations in effect? A I required to comply with all requirements of the amended regulations?",,,,,
820,,,,,,,
821,,,,,,,
822,,,,,,,
823,10/26/2020,Do non-U.S. persons risk exposure to U.S. secondary sanctions for engaging in humanitarian-related transactions or activities involving the Central Bank of Iran (CBI) or the National Iranian Oil Company (NIOC) that U.S. persons would be authorized to engage in under General License No. 8A (GL 8A)?,"No. Non-U.S. persons generally do not risk exposure under U.S. secondary sanctions relating to Iran for engaging in the sale of agricultural commodities, food, medicine, or medical devices to Iran, as such transactions are generally subject to exceptions in otherwise applicable authorities, provided the transactions do not involve persons designated in connection with Iran’s support for international terrorism or weapons of mass destruction (WMD) proliferation. Non-U.S. persons do not risk exposure under U.S. secondary sanctions for engaging in humanitarian-related transactions or activities involving the CBI, NIOC, or any entity in which NIOC owns a 50 percent or greater interest, that would be authorized under GL 8A if engaged in by a U.S. person, provided such transactions and activities do not involve any person designated in connection with Iran’s support for international terrorism or WMD proliferation, other than the CBI, NIOC, or any entity in which NIOC owns a 50 percent or greater interest.",,Iran,,
824,,,,,,,
825,,,,,,,
826,,,,,,,
827,03/05/2020,What does Nicaragua-related General License (GL) 2 authorize with respect to the Nicaraguan National Police?,"GL 2 authorizes the wind down of transactions involving the Nicaraguan National Police (NNP), including the processing of salary payments from the NNP to its employees, so long as no other blocked persons are involved in the transaction, through 12:01 a.m. eastern daylight time, May 6, 2020. This authorization also covers wind down transactions involving any entity in which NNP owns, directly or indirectly, a 50 percent or greater interest. 

OFAC’s designation of the NNP is directed at the NNP as an institution for the violent abuses carried out against the people of Nicaragua. The blocking sanctions apply to the NNP, as well as to the three named NNP commissioners who were designated on the same day, and not to individual, non-designated NNP police officers",,Nicaragua,,
828,,,,,,,
829,,,,,,,
830,,,,,,,
831,,,,,,,
832,,,,,,,
833,,,,,,,
834,,,,,,,
835,,,,,,,
836,,,,,,,
837,,,,,,,
838,,,,,,,
839,,,,,,,
840,,,,,,,
841,,,,,,,
842,,,,,,,
843,,,,,,,
844,,,,,,,
845,,,,,,,
846,,,,,,,
847,,,,,,,
848,,,,,,,
849,,,,,,,
850,,,,,,,
851,,,,,,,
852,,,,,,,
853,,,,,,,
854,,,,,,,
855,,,,,,,
856,,,,,,,
857,,,,,,,
858,,,,,,,
859,,,,,,,
860,,,,,,,
861,,,,,,,
862,,,,,,,
863,,,,,,,
864,,,,,,,
865,,,,,,,
866,,,,,,,
867,,,,,,,
868,,,,,,,
869,,,,,,,
870,,,,,,,
871,,,,,,,
872,,,,,,,
873,,,,,,,
874,,,,,,,
875,,,,,,,
876,,,,,,,
877,,,,,,,
878,,,,,,,
879,,,,,,,
880,3/14/2021,"Do the prohibitions in Executive Order 13959, as amended (E.O. 13959), apply with respect to Xiaomi Corporation?",,E.O. 13959,,https://home.treasury.gov/policy-issues/financial-sanctions/faqs/880,
881,,,,,,,
882,,,,,,,
883,,,,,,,
884,4/5/2021,"Do non-U.S. persons, including nongovernmental organizations (NGOs) and foreign financial institutions, risk exposure to U.S. secondary sanctions pursuant to the Caesar Syria Civilian Protection Act of 2019 (Caesar Act) for activities that would be authorized under the Syrian Sanctions Regulations (SySR)?",,,,,
885,,,,,,,
886,,,,,,,
887,,,,,,,
888,,,,,,,
889,,,,,,,
890,,,,,,,
891,,,,,,,
892,4/28/2021,"What is the difference between the previous version of Sanctions List Search, and the upgraded version made live to the public on January 25, 2021?","OFAC’s Sanctions List Search application has been available to the public since 2011. Over the years the tool’s userbase grew to a point where the original infrastructure and design for the application could not keep up with demand. In late 2020, OFAC took steps to increase the tool’s efficiency to improve its performance.

The primary update was the addition of a new algorithm to the tool’s fuzzy logic search functionality. The upgraded application still utilizes the original Soundex and Jaro-Winkler algorithms in addition to the new algorithm (see this link for more information on the upgrade). As a result of this update, users may see differences in search results when compared to an earlier version of the tool. If users had previously tested Sanctions List Search in order to determine how the tool could assist in their due diligence, it is recommended that such testing be repeated on the current version of the tool. OFAC may continue to periodically update and/or make changes to the tool. While OFAC has no immediate plans to further upgrade the application’s fuzzy logic functionality users should watch OFAC’s website for information about future upgrades. As such, users are to advised that they are using a free service at their own risk, and that best practice dictates each user performs baseline checks to see how updates/changes to the tool may affect search results.

For more information regarding how the tool works and calculates scores, please refer to FAQs 246, 247 and 249. For more information on who may use the tool, please see FAQ 287. ",,,,
893,5/6/2021,"Do the prohibitions in Executive Order 13959, as amended (E.O. 13959), apply with respect to Luokung Technology Corp.?","On March 9, 2021, the Secretary of Defense listed Luokung Technology Corp. (""Luokung""), pursuant to section 4(a)(ii) of E.O. 13959.  On May 5, 2021, the U.S. District Court for the District of Columbia issued an order in Luokung Technology Corp. v. Department of Defense (Case No. 1:21-cv-00583-RC) preliminarily enjoining the implementation and enforcement of the E.O. 13959 prohibitions against Luokung.  Consequently, the prohibitions in E.O. 13959 do not apply with respect to Luokung pending further order of the Court.",E.O. 13959,,,
894,,,,,,,
895,,,,,,,
896,,,,,,,
897,,,,,,,
898,,,,,,,
899,,,,,,,
900,,,,,,,
